pitch,twist_factor,chord_factor,CT,CP
-0.6,0.9,0.8,0.3553,0.30948
-0.6,0.9,0.9,0.3943,0.33731
-0.6,0.9,1.0,0.43183,0.36276
-0.6,0.9,1.1,0.46797,0.38591
-0.6,0.9,1.2,0.50282,0.40691
-0.6,0.9,1.3,0.53634,0.42569
-0.6,0.9,1.4,0.56804,0.4423
-0.6,1.0,0.5,0.22616,0.20818
-0.6,1.0,0.6,0.26799,0.2425
-0.6,1.0,0.7,0.30861,0.27446
-0.6,1.0,0.8,0.34797,0.30402
-0.6,1.0,0.9,0.3857,0.33119
-0.6,1.0,1.0,0.4221,0.35614
-0.6,1.0,1.1,0.45717,0.37893
-0.6,1.0,1.2,0.49103,0.39959
-0.6,1.0,1.3,0.5231,0.41812
-0.6,1.0,1.4,0.554,0.4347
-0.6,1.1,0.5,0.22152,0.20423
-0.6,1.1,0.6,0.26222,0.23776
-0.6,1.1,0.7,0.30173,0.26894
-0.6,1.1,0.8,0.33963,0.29772
-0.6,1.1,0.9,0.37623,0.32432
-0.6,1.1,1.0,0.41146,0.34875
-0.6,1.1,1.1,0.44553,0.37112
-0.6,1.1,1.2,0.47791,0.39138
-0.6,1.1,1.3,0.50919,0.40979
-0.6,1.1,1.4,0.5392,0.42637
-0.6,1.2,0.5,0.2162,0.19966
-0.6,1.2,0.6,0.25563,0.23229
-0.6,1.2,0.7,0.29384,0.26266
-0.6,1.2,0.8,0.33056,0.29076
-0.6,1.2,0.9,0.36591,0.3167
-0.6,1.2,1.0,0.40002,0.34061
-0.6,1.2,1.1,0.43276,0.3625
-0.6,1.2,1.2,0.46428,0.38253
-0.6,1.2,1.3,0.49456,0.40075
-0.6,1.2,1.4,0.52294,0.41695
-0.6,1.3,0.5,0.21025,0.19452
-0.6,1.3,0.6,0.24851,0.22629
-0.6,1.3,0.7,0.28533,0.2558
-0.6,1.3,0.8,0.32076,0.28314
-0.6,1.3,0.9,0.35492,0.30845
-0.6,1.3,1.0,0.38789,0.33183
-0.6,1.3,1.1,0.41953,0.35331
-0.6,1.3,1.2,0.44992,0.37297
-0.6,1.3,1.3,0.47837,0.39059
-0.6,1.3,1.4,0.50484,0.40634
-0.6,1.4,0.5,0.20383,0.18894
-0.6,1.4,0.6,0.2408,0.21979
-0.6,1.4,0.7,0.27628,0.24842
-0.6,1.4,0.8,0.31045,0.27501
-0.6,1.4,0.9,0.3435,0.2997
-0.6,1.4,1.0,0.37521,0.32249
-0.6,1.4,1.1,0.4056,0.34342
-0.6,1.4,1.2,0.43404,0.36229
-0.6,1.4,1.3,0.46081,0.3794
-0.6,1.4,1.4,0.48632,0.39504
-0.5,0.5,0.5,0.23849,0.21849
-0.5,0.5,0.6,0.28455,0.25585
-0.5,0.5,0.7,0.32984,0.29091
-0.5,0.5,0.8,0.37439,0.3236
-0.5,0.5,0.9,0.41797,0.35384
-0.5,0.5,1.0,0.46093,0.38164
-0.5,0.5,1.1,0.50191,0.40662
-0.5,0.5,1.2,0.5418,0.42903
-0.5,0.5,1.3,0.57989,0.44861
-0.5,0.5,1.4,0.61631,0.46542
-0.5,0.6,0.5,0.23777,0.21792
-0.5,0.6,0.6,0.28324,0.25484
-0.5,0.6,0.7,0.32809,0.28956
-0.5,0.6,0.8,0.37193,0.32183
-0.5,0.6,0.9,0.41487,0.35168
-0.5,0.6,1.0,0.45644,0.37879
-0.5,0.6,1.1,0.49639,0.40335
-0.5,0.6,1.2,0.53486,0.4253
-0.5,0.6,1.3,0.57179,0.44466
-0.5,0.6,1.4,0.60706,0.46139
-0.5,0.7,0.5,0.23643,0.2168
-0.5,0.7,0.6,0.28138,0.25333
-0.5,0.7,0.7,0.32549,0.28756
-0.5,0.7,0.8,0.36837,0.31922
-0.5,0.7,0.9,0.41023,0.34835
-0.5,0.7,1.0,0.45045,0.37497
-0.5,0.7,1.1,0.48923,0.39909
-0.5,0.7,1.2,0.52657,0.42072
-0.5,0.7,1.3,0.56231,0.43985
-0.5,0.7,1.4,0.59676,0.45652
-0.5,0.8,0.5,0.23434,0.21506
-0.5,0.8,0.6,0.27855,0.25105
-0.5,0.8,0.7,0.32155,0.28453
-0.5,0.8,0.8,0.36342,0.31558
-0.5,0.8,0.9,0.40411,0.34415
-0.5,0.8,1.0,0.44319,0.37027
-0.5,0.8,1.1,0.48082,0.39396
-0.5,0.8,1.2,0.51693,0.41523
-0.5,0.8,1.3,0.55193,0.43422
-0.5,0.8,1.4,0.58501,0.45091
-0.5,0.9,0.5,0.23143,0.21261
-0.5,0.9,0.6,0.27458,0.24785
-0.5,0.9,0.7,0.31659,0.28068
-0.5,0.9,0.8,0.35752,0.3111
-0.5,0.9,0.9,0.39683,0.33907
-0.5,0.9,1.0,0.43471,0.36465
-0.5,0.9,1.1,0.47113,0.38789
-0.5,0.9,1.2,0.50624,0.40893
-0.5,0.9,1.3,0.54003,0.42773
-0.5,0.9,1.4,0.57196,0.44433
-0.5,1.0,0.5,0.2276,0.20938
-0.5,1.0,0.6,0.26973,0.2439
-0.5,1.0,0.7,0.31065,0.27603
-0.5,1.0,0.8,0.35038,0.30579
-0.5,1.0,0.9,0.38843,0.33311
-0.5,1.0,1.0,0.42511,0.35816
-0.5,1.0,1.1,0.46047,0.38104
-0.5,1.0,1.2,0.49461,0.40176
-0.5,1.0,1.3,0.52693,0.4203
-0.5,1.0,1.4,0.55806,0.43687
-0.5,1.1,0.5,0.22306,0.20551
-0.5,1.1,0.6,0.2641,0.23927
-0.5,1.1,0.7,0.30395,0.27065
-0.5,1.1,0.8,0.34218,0.29961
-0.5,1.1,0.9,0.37907,0.32635
-0.5,1.1,1.0,0.4146,0.35089
-0.5,1.1,1.1,0.44894,0.37335
-0.5,1.1,1.2,0.48159,0.39366
-0.5,1.1,1.3,0.51309,0.41208
-0.5,1.1,1.4,0.54327,0.42864
-0.5,1.2,0.5,0.21785,0.20105
-0.5,1.2,0.6,0.25762,0.23391
-0.5,1.2,0.7,0.29616,0.26447
-0.5,1.2,0.8,0.33321,0.29275
-0.5,1.2,0.9,0.36886,0.31883
-0.5,1.2,1.0,0.40324,0.34285
-0.5,1.2,1.1,0.43626,0.36482
-0.5,1.2,1.2,0.468,0.3849
-0.5,1.2,1.3,0.49853,0.40315
-0.5,1.2,1.4,0.52726,0.4194
-0.5,1.3,0.5,0.21198,0.19599
-0.5,1.3,0.6,0.25056,0.22798
-0.5,1.3,0.7,0.28773,0.2577
-0.5,1.3,0.8,0.32348,0.28521
-0.5,1.3,0.9,0.35792,0.31066
-0.5,1.3,1.0,0.39118,0.33414
-0.5,1.3,1.1,0.42307,0.35571
-0.5,1.3,1.2,0.45375,0.37545
